Service name,City,contact number
Police,Cavite City,0998 967 3349 / 0998 967 3349
Police,Kawit,0998 967 3356 / 0998 598 5607
Police,Noveleta,0998 967 3357 / 0998 598 5608
Police,Rosario,0998 967 3358 / 0998 598 5609
Police,City of Bacoor,0998 967 3348 / 0998 598 5594
Police,City of Imus,0998 967 3351 / 0998 598 5601
Police,City of Dasmariñas,0998 967 3350
Police,Carmona,0998 967 3359 / 0998 598 5610
Police,General Mariano Alvarez,0998 967 3360 / 0998 596 5611
Police,Silang,0998 598 5622 / 0998 967 3372
Police,City of Gen. Trias,0998 967 3361 / 0998 598 5612
Police,Amadeo,0998 967 3365 / 0998 598 5620
Police,Indang,0998 967 3367 / 0998 598 5617
Police,Tanza,0998 967 3362 / 0998 598 5613
Police,Trece Martires City,0998 967 3354 / 0998 598 5606
Police,Alfonso,0998 967 3364 / 0998 598 5614
Police,General Emilio Aguinaldo,0998 967 3512 / 0998 598 5616
Police,Magallanes,0998 967 3368 / 0998 598 5618
Police,Maragondon,0998 967 3369 / 0998 598 5619
Police,Mendez,0998 967 3370 / 0998 598 5620
Police,Naic,0998 967 3371 / 0998 598 5621
Police,Tagaytay City,0998 967 3352 / 0998 598 5604
Police,Ternate,0998 967 3374 / 0998 598 5623
